Time,AntriebsmomentVA,AntriebsmomentHA,Lenkwinkel,BremsmomentVA,BremsmomentHA,Geschw_S
27.376,0,0,0.512003385920147,0,0,13.9
27.38,0,0,0.512003385920147,0,0,13.9
27.384,0,0,0.508820086559729,0,0,13.9
27.388,0,0,0.508820086559729,0,0,13.9
27.392,0,0,0.505622317186451,0,0,13.9
27.396,0,0,0.505622317186451,0,0,13.9
27.4,0,0,0.505622317186451,0,0,13.9
27.404,0,0,0.502410168739653,0,0,13.9
27.408,0,0,0.502410168739653,0,0,13.9
27.412,0,0,0.499160538438498,0,0,13.9
27.416,0,0,0.499160538438498,0,0,13.9
27.42,0,0,0.495896508454752,0,0,13.9
27.424,0,0,0.495896508454752,0,0,13.9
27.428,0,0,0.492618172948493,0,0,13.9
27.432,0,0,0.492618172948493,0,0,13.9
27.436,0,0,0.492618172948493,0,0,13.9
27.44,0,0,0.489325626492483,0,0,13.9
27.444,0,0,0.489325626492483,0,0,13.9
27.448,0,0,0.485996703671033,0,0,13.9
27.452,0,0,0.485996703671033,0,0,13.9
27.456,0,0,0.482653571921404,0,0,13.9
27.46,0,0,0.482653571921404,0,0,13.9
27.464,0,0,0.479296328985659,0,0,13.9
27.468,0,0,0.479296328985659,0,0,13.9
27.472,0,0,0.479296328985659,0,0,13.9
27.476,0,0,0.475925073018422,0,0,13.9
27.48,0,0,0.475925073018422,0,0,13.9
27.484,0,0,0.47251926364464,0,0,13.9
27.488,0,0,0.47251926364464,0,0,13.9
27.492,0,0,0.46909947075801,0,0,13.9
27.496,0,0,0.46909947075801,0,0,13.9
27.5,0,0,0.46566579556227,0,0,13.9
27.504,0,0,0.46566579556227,0,0,13.9
27.508,0,0,0.46566579556227,0,0,13.9
27.512,0,0,0.462218339671988,0,0,13.9
27.516,0,0,0.462218339671988,0,0,13.9
27.52,0,0,0.458740222501084,0,0,13.9
27.524,0,0,0.458740222501084,0,0,13.9
27.528,0,0,0.455248396302184,0,0,13.9
27.532,0,0,0.455248396302184,0,0,13.9
27.536,0,0,0.455248396302184,0,0,13.9
27.54,0,0,0.451742965425289,0,0,13.9
27.544,0,0,0.451742965425289,0,0,13.9
27.548,0,0,0.448224034626968,0,0,13.9
27.552,0,0,0.448224034626968,0,0,13.9
27.556,0,0,0.444685262772378,0,0,13.9
27.56,0,0,0.444685262772378,0,0,13.9
27.564,0,0,0.44113315345341,0,0,13.9
27.568,0,0,0.44113315345341,0,0,13.9
27.572,0,0,0.44113315345341,0,0,13.9
27.576,0,0,0.437567813208635,0,0,13.9
27.58,0,0,0.437567813208635,0,0,13.9
27.584,0,0,0.433989348973453,0,0,13.9
27.588,0,0,0.433989348973453,0,0,13.9
27.592,0,0,0.431660710075609,0,0,13.9
27.596,0,0,0.429326621493586,0,0,13.9
27.6,0,0,0.429326621493586,0,0,13.9
27.604,0,0,0.426987112695079,0,0,13.9
27.608,0,0,0.424642213216212,0,0,13.9
27.612,0,0,0.424642213216212,0,0,13.9
27.616,0,0,0.422291952661164,0,0,13.9
27.62,0,0,0.419936360701798,0,0,13.9
27.624,0,0,0.419936360701798,0,0,13.9
27.628,0,0,0.417575467077289,0,0,13.9
27.632,0,0,0.41520930159374,0,0,13.9
27.636,0,0,0.41520930159374,0,0,13.9
27.64,0,0,0.411675393544056,0,0,13.9
27.644,0,0,0.411675393544056,0,0,13.9
27.648,0,0,0.408129955906021,0,0,13.9
27.652,0,0,0.408129955906021,0,0,13.9
27.656,0,0,0.404573087974944,0,0,13.9
27.66,0,0,0.404573087974944,0,0,13.9
27.664,0,0,0.404573087974944,0,0,13.9
27.668,0,0,0.401004889366263,0,0,13.9
27.672,0,0,0.401004889366263,0,0,13.9
27.676,0,0,0.397407534670616,0,0,13.9
27.68,0,0,0.397407534670616,0,0,13.9
27.684,0,0,0.393798938400599,0,0,13.9
27.688,0,0,0.393798938400599,0,0,13.9
27.692,0,0,0.390179202633555,0,0,13.9
27.696,0,0,0.390179202633555,0,0,13.9
27.7,0,0,0.386548429761927,0,0,13.9
27.704,0,0,0.386548429761927,0,0,13.9
27.708,0,0,0.386548429761927,0,0,13.9
27.712,0,0,0.382805682857892,0,0,13.9
27.716,0,0,0.382805682857892,0,0,13.9
27.72,0,0,0.379051499159311,0,0,13.9
27.724,0,0,0.379051499159311,0,0,13.9
27.728,0,0,0.375285990827078,0,0,13.9
27.732,0,0,0.375285990827078,0,0,13.9
27.736,0,0,0.375285990827078,0,0,13.9
27.74,0,0,0.371509270360425,0,0,13.9
27.744,0,0,0.371509270360425,0,0,13.9
27.748,0,0,0.367471519325721,0,0,13.9
27.752,0,0,0.367471519325721,0,0,13.9
27.756,0,0,0.363421295412413,0,0,13.9
27.76,0,0,0.363421295412413,0,0,13.9
27.764,0,0,0.363421295412413,0,0,13.9
27.768,0,0,0.359358736094966,0,0,13.9
27.772,0,0,0.359358736094966,0,0,13.9
27.776,0,0,0.355283979266542,0,0,13.9
27.78,0,0,0.355283979266542,0,0,13.9
27.784,0,0,0.355283979266542,0,0,13.9
27.788,0,0,0.351310691896334,0,0,13.9
27.792,0,0,0.351310691896334,0,0,13.9
27.796,0,0,0.347326132564479,0,0,13.9
27.8,0,0,0.347326132564479,0,0,13.9
27.804,0,0,0.343330429117355,0,0,13.9
27.808,0,0,0.343330429117355,0,0,13.9
27.812,0,0,0.343330429117355,0,0,13.9
27.816,0,0,0.339323709758905,0,0,13.9
27.82,0,0,0.339323709758905,0,0,13.9
27.824,0,0,0.335534673240575,0,0,13.9
27.828,0,0,0.335534673240575,0,0,13.9
27.832,0,0,0.331736059605744,0,0,13.9
27.836,0,0,0.331736059605744,0,0,13.9
27.84,0,0,0.327927977277681,0,0,13.9
27.844,0,0,0.327927977277681,0,0,13.9
27.848,0,0,0.327927977277681,0,0,13.9
27.852,0,0,0.324110534949912,0,0,13.9
27.856,0,0,0.324110534949912,0,0,13.9
27.86,0,0,0.320156553457055,0,0,13.9
27.864,0,0,0.320156553457055,0,0,13.9
27.868,0,0,0.316192816520478,0,0,13.9
27.872,0,0,0.316192816520478,0,0,13.9
27.876,0,0,0.312219444918628,0,0,13.9
27.88,0,0,0.312219444918628,0,0,13.9
27.884,0,0,0.312219444918628,0,0,13.9
27.888,0,0,0.308236559723534,0,0,13.9
27.892,0,0,0.308236559723534,0,0,13.9
27.896,0,0,0.304072871374463,0,0,13.9
27.9,0,0,0.304072871374463,0,0,13.9
27.904,0,0,0.304072871374463,0,0,13.9
27.908,0,0,0.299899105966724,0,0,13.9
27.912,0,0,0.299899105966724,0,0,13.9
27.916,0,0,0.295715401820053,0,0,13.9
27.92,0,0,0.295715401820053,0,0,13.9
27.924,0,0,0.291521897583556,0,0,13.9
27.928,0,0,0.291521897583556,0,0,13.9
27.932,0,0,0.291521897583556,0,0,13.9
27.936,0,0,0.287527585484504,0,0,13.9
27.94,0,0,0.287527585484504,0,0,13.9
27.944,0,0,0.283524667097523,0,0,13.9
27.948,0,0,0.283524667097523,0,0,13.9
27.952,0,0,0.279513262238133,0,0,13.9
27.956,0,0,0.279513262238133,0,0,13.9
27.96,0,0,0.279513262238133,0,0,13.9
27.964,0,0,0.275493490975878,0,0,13.9
27.968,0,0,0.275493490975878,0,0,13.9
27.972,0,0,0.271630726166926,0,0,13.9
27.976,0,0,0.271630726166926,0,0,13.9
27.98,0,0,0.267760483705158,0,0,13.9
27.984,0,0,0.267760483705158,0,0,13.9
27.988,0,0,0.263882870133493,0,0,13.9
27.992,0,0,0.263882870133493,0,0,13.9
27.996,0,0,0.259997992197761,0,0,13.9
28,0,0,0.259997992197761,0,0,13.9
28.004,0,0,0.259997992197761,0,0,13.9
28.008,0,0,0.255967945302003,0,0,13.9
28.012,0,0,0.255967945302003,0,0,13.9
28.016,0,0,0.251930343822271,0,0,13.9
28.02,0,0,0.251930343822271,0,0,13.9
28.024,0,0,0.24788530692348,0,0,13.9
28.028,0,0,0.24788530692348,0,0,13.9
28.032,0,0,0.243832953989998,0,0,13.9
28.036,0,0,0.243832953989998,0,0,13.9
28.04,0,0,0.243832953989998,0,0,13.9
28.044,0,0,0.239707124826969,0,0,13.9
28.048,0,0,0.239707124826969,0,0,13.9
28.052,0,0,0.235573988307556,0,0,13.9
28.056,0,0,0.235573988307556,0,0,13.9
28.06,0,0,0.231433670428437,0,0,13.9
28.064,0,0,0.231433670428437,0,0,13.9
28.068,0,0,0.231433670428437,0,0,13.9
28.072,0,0,0.227286297405211,0,0,13.9
28.076,0,0,0.227286297405211,0,0,13.9
28.08,0,0,0.223360406768723,0,0,13.9
28.084,0,0,0.223360406768723,0,0,13.9
28.088,0,0,0.219428434708016,0,0,13.9
28.092,0,0,0.219428434708016,0,0,13.9
28.096,0,0,0.215490488278719,0,0,13.9
28.1,0,0,0.215490488278719,0,0,13.9
28.104,0,0,0.211546674699132,0,0,13.9
28.108,0,0,0.211546674699132,0,0,13.9
28.112,0,0,0.207718326041236,0,0,13.9
28.116,0,0,0.207718326041236,0,0,13.9
28.12,0,0,0.207718326041236,0,0,13.9
28.124,0,0,0.203884663454092,0,0,13.9
28.128,0,0,0.203884663454092,0,0,13.9
28.132,0,0,0.200045785011915,0,0,13.9
